"id","latitude","longitude","wsp"
661,10.954,37.0035,0.147014
662,9.0829,33.9995,0.149327
663,7.22343,30.9935,0.15195
664,5.38011,27.9814,0.154994
665,3.55801,24.9592,0.158549
666,1.76265,21.9232,0.162688
667,0,18.8697,0.167459
668,-1.72363,15.7953,0.162786
669,-3.4016,12.6966,0.158883
670,-5.02702,9.57061,0.155637
671,-6.59274,6.41427,0.152936
672,-8.09136,3.2249,0.150677
673,-9.51524,0,0.148768
674,9.17531,39.7479,0.149206
675,7.30863,36.8039,0.151821
676,5.45324,33.8544,0.154863
677,3.61341,30.8955,0.158432
678,1.79391,27.9232,0.16261
679,0,24.9336,0.167459
680,-1.76265,21.9232,0.162688
681,-3.48803,18.8884,0.158698
682,-5.16983,15.826,0.155374
683,-6.80147,12.7329,0.152604
684,-8.37613,9.6062,0.150279
685,-9.8868,6.44331,0.1483
686,-11.3262,3.24192,0.146581
687,-12.687,0,0.14505
688,7.3722,42.4602,0.151726
689,5.50873,39.5772,0.154765
690,3.6561,36.6862,0.158342
691,1.81833,33.7828,0.162549
692,0,30.8631,0.167459
693,-1.79391,27.9232,0.16261
694,-3.55801,24.9592,0.158549
695,-5.28658,21.9676,0.155162
696,-6.97363,18.9451,0.152334
697,-8.6129,15.8883,0.149954
698,-10.1979,12.7944,0.147917
699,-11.7219,9.66074,0.146129
700,-13.1782,6.48501,0.14451
701,-14.5595,3.26527,0.142994
702,-15.8587,0,0.141537
703,5.54905,45.1453,0.154693
704,3.68782,42.3242,0.158275
705,1.83684,39.493,0.162503
706,0,36.6473,0.167459
707,-1.81833,33.7828,0.162549
708,-3.61341,30.8955,0.158432
709,-5.38011,27.9814,0.154994
710,-7.11302,25.0367,0.152119
711,-8.80644,22.0577,0.149693
712,-10.4544,19.0411,0.147607
713,-12.0508,15.9837,0.145758
714,-13.5892,12.8827,0.144059
715,-15.0632,9.73565,0.142436
716,-16.466,6.54047,0.140831
717,-17.7907,3.2956,0.139209
718,-19.0305,0,0.13755
719,3.71003,47.8083,0.158229
720,1.85022,45.0496,0.16247
721,0,42.2793,0.167459
722,-1.83684,39.493,0.162503
723,-3.6561,36.6862,0.158342
724,-5.45324,33.8544,0.154863
725,-7.22343,30.9935,0.15195
726,-8.96152,28.0994,0.149487
727,-10.6621,25.168,0.147358
728,-12.3196,22.1958,0.145458
729,-13.9281,19.1791,0.143688
730,-15.4816,16.1148,0.141966
731,-16.974,13.0003,0.140224
732,-18.3988,9.83299,0.138415
733,-19.7495,6.61123,0.136509
734,-21.0196,3.33375,0.134498
735,-22.2022,0,0.132394
736,1.85909,50.4543,0.162448
737,0,47.758,0.167459
738,-1.85022,45.0496,0.16247
739,-3.68782,42.3242,0.158275
740,-5.50873,39.5772,0.154765
741,-7.30863,36.8039,0.151821
742,-9.0829,33.9995,0.149327
743,-10.8267,31.1598,0.147163
744,-12.535,28.2803,0.145218
745,-14.2024,25.3569,0.143387
746,-15.8235,22.3856,0.141577
747,-17.3925,19.3628,0.139711
748,-18.9036,16.2853,0.137727
749,-20.3507,13.1503,0.135586
750,-21.7277,9.95552,0.133267
751,-23.0282,6.69933,0.130773
752,-24.2458,3.38084,0.128125
753,-25.374,0,0.125368
754,0,53.0884,0.167459
755,-1.85909,50.4543,0.162448
756,-3.71003,47.8083,0.158229
757,-5.54905,45.1453,0.154693
758,-7.3722,42.4602,0.151726
759,-9.17531,39.7479,0.149206
760,-10.954,37.0035,0.147014
761,-12.7039,34.2221,0.145032
762,-14.42,31.3989,0.143148
763,-16.0975,28.5291,0.141262
764,-17.7312,25.6084,0.139285
765,-19.3157,22.6325,0.137145
766,-20.8456,19.5975,0.134787
767,-22.3151,16.5001,0.13218
768,-23.7182,13.3373,0.129312
769,-25.0491,10.1069,0.126194
770,-26.3014,6.80747,0.12286
771,-27.4691,3.43834,0.119362
772,-28.5457,0,0.115776
773,-1.86368,55.7156,0.162437
774,-3.72362,53.1433,0.158201
775,-5.57604,50.5601,0.154646
776,-7.41713,47.9606,0.151658
